Region,Seed,Name
Bo Derek,1,Ana de Armas
Bo Derek,2,Sydney Sweeney
Bo Derek,3,Eileen Gu
Bo Derek,4,Olivia Rodrigo
Bo Derek,5,Olivia Wilde
Bo Derek,6,Jessica Williams
Bo Derek,7,Cameron Brink
Bo Derek,8,Constance Wu
Bo Derek,9,Jennifer Lawrence
Bo Derek,10,Jutta Leerdam
Bo Derek,11,Eva Mendes
Bo Derek,12,Victoria Justice
Bo Derek,13,Elena Svitolina
Bo Derek,14,Isla Fisher
Bo Derek,15,Angelina Jolie
Bo Derek,16,Lindsey Vonn
Audrey Hepburn,1,Alexandra Daddario
Audrey Hepburn,2,Halle Berry
Audrey Hepburn,3,Emily Ratajkowski
Audrey Hepburn,4,Sophie Cunningham
Audrey Hepburn,5,Scarlett Johansson
Audrey Hepburn,6,Tate McRae
Audrey Hepburn,7,Mila Kunis
Audrey Hepburn,8,Eva Green
Audrey Hepburn,9,Charli XCX
Audrey Hepburn,10,Sofia Vergara
Audrey Hepburn,11,Alison Brie
Audrey Hepburn,12,Shakira
Audrey Hepburn,13,Emily Blunt
Audrey Hepburn,14,Natalie Portman
Audrey Hepburn,15,Morena Baccarin
Audrey Hepburn,16,Erin Dolan
Marilyn Monroe,1,Dua Lipa
Marilyn Monroe,2,Gal Gadot
Marilyn Monroe,3,Dayana Yastremska
Marilyn Monroe,4,Alice Eve
Marilyn Monroe,5,Priyanka Chopra
Marilyn Monroe,6,Livvy Dunne
Marilyn Monroe,7,Sabrina Carpenter
Marilyn Monroe,8,Brie Larson
Marilyn Monroe,9,Ariana Grande
Marilyn Monroe,10,Grace Park
Marilyn Monroe,11,Margaret Qualley
Marilyn Monroe,12,Madison Chock
Marilyn Monroe,13,Hailee Steinfeld
Marilyn Monroe,14,Jessica Alba
Marilyn Monroe,15,Elizabeth Olsen
Marilyn Monroe,16,Kate Hudson
Pamela Anderson,1,Margot Robbie
Pamela Anderson,2,Gemma Chan
Pamela Anderson,3,Katie George
Pamela Anderson,4,Anna Kendrick
Pamela Anderson,5,Madison Beer
Pamela Anderson,6,Eiza Gonzalez
Pamela Anderson,7,Samara Weaving
Pamela Anderson,8,Zendaya
Pamela Anderson,9,Kaylee Hartung
Pamela Anderson,10,Isabel May
Pamela Anderson,11,Anne Hathaway
Pamela Anderson,12,Olivia Munn
Pamela Anderson,13,Emmanuelle Chriqui
Pamela Anderson,14,Jen Hale
Pamela Anderson,15,Emma Watson
Pamela Anderson,16,Emma Stone
